LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
EST,PISAMATH,TOT,MEANSCORE,A,2018,523
FIN,PISAMATH,BOY,MEANSCORE,A,2018,504
FIN,PISAMATH,GIRL,MEANSCORE,A,2018,510
FIN,PISAMATH,TOT,MEANSCORE,A,2018,507
FRA,PISAMATH,BOY,MEANSCORE,A,2018,499
FRA,PISAMATH,GIRL,MEANSCORE,A,2018,492
FRA,PISAMATH,TOT,MEANSCORE,A,2018,495
GBR,PISAMATH,BOY,MEANSCORE,A,2018,508
GBR,PISAMATH,GIRL,MEANSCORE,A,2018,496
GBR,PISAMATH,TOT,MEANSCORE,A,2018,502
GRC,PISAMATH,BOY,MEANSCORE,A,2018,452
GRC,PISAMATH,GIRL,MEANSCORE,A,2018,451
GRC,PISAMATH,TOT,MEANSCORE,A,2018,451
HUN,PISAMATH,BOY,MEANSCORE,A,2018,486
HUN,PISAMATH,GIRL,MEANSCORE,A,2018,477
HUN,PISAMATH,TOT,MEANSCORE,A,2018,481
IDN,PISAMATH,BOY,MEANSCORE,A,2018,374
IDN,PISAMATH,GIRL,MEANSCORE,A,2018,383
IDN,PISAMATH,TOT,MEANSCORE,A,2018,379
IRL,PISAMATH,BOY,MEANSCORE,A,2018,503
IRL,PISAMATH,GIRL,MEANSCORE,A,2018,497
IRL,PISAMATH,TOT,MEANSCORE,A,2018,500
ISL,PISAMATH,BOY,MEANSCORE,A,2018,490
ISL,PISAMATH,GIRL,MEANSCORE,A,2018,500
ISL,PISAMATH,TOT,MEANSCORE,A,2018,495
ISR,PISAMATH,BOY,MEANSCORE,A,2018,458
ISR,PISAMATH,GIRL,MEANSCORE,A,2018,467
ISR,PISAMATH,TOT,MEANSCORE,A,2018,463
ITA,PISAMATH,BOY,MEANSCORE,A,2018,494
ITA,PISAMATH,GIRL,MEANSCORE,A,2018,479
ITA,PISAMATH,TOT,MEANSCORE,A,2018,487
JPN,PISAMATH,BOY,MEANSCORE,A,2018,532
JPN,PISAMATH,GIRL,MEANSCORE,A,2018,522
JPN,PISAMATH,TOT,MEANSCORE,A,2018,527
KOR,PISAMATH,BOY,MEANSCORE,A,2018,528
KOR,PISAMATH,GIRL,MEANSCORE,A,2018,524
KOR,PISAMATH,TOT,MEANSCORE,A,2018,526
LTU,PISAMATH,TOT,MEANSCORE,A,2018,481
LTU,PISAMATH,BOY,MEANSCORE,A,2018,480
LTU,PISAMATH,GIRL,MEANSCORE,A,2018,482
LUX,PISAMATH,BOY,MEANSCORE,A,2018,487
LUX,PISAMATH,GIRL,MEANSCORE,A,2018,480
LUX,PISAMATH,TOT,MEANSCORE,A,2018,483
LVA,PISAMATH,BOY,MEANSCORE,A,2018,500
LVA,PISAMATH,GIRL,MEANSCORE,A,2018,493
LVA,PISAMATH,TOT,MEANSCORE,A,2018,496
MEX,PISAMATH,BOY,MEANSCORE,A,2018,415
MEX,PISAMATH,GIRL,MEANSCORE,A,2018,403
MEX,PISAMATH,TOT,MEANSCORE,A,2018,409
NLD,PISAMATH,BOY,MEANSCORE,A,2018,520
NLD,PISAMATH,GIRL,MEANSCORE,A,2018,519
NLD,PISAMATH,TOT,MEANSCORE,A,2018,519
NOR,PISAMATH,BOY,MEANSCORE,A,2018,497
NOR,PISAMATH,GIRL,MEANSCORE,A,2018,505
NOR,PISAMATH,TOT,MEANSCORE,A,2018,501
NZL,PISAMATH,BOY,MEANSCORE,A,2018,499
NZL,PISAMATH,GIRL,MEANSCORE,A,2018,490
NZL,PISAMATH,TOT,MEANSCORE,A,2018,494
